station,BusID,HC_firm_min,HC_median,HC_mean,HC_p90,HC_p95,HC_nonfirm,gain_nonfirm_minus_firm,ratio_nonfirm_to_firm
1076069,620577,53.0,54.0,53.875,54.0,54.0,54.0,1.0,1.0188679245283019
1076069,620587,52.0,53.0,52.958333333333336,53.0,53.849999999999994,53.849999999999994,1.8499999999999943,1.035576923076923
1076069,1474215,69.0,70.0,70.29166666666667,71.0,71.0,71.0,2.0,1.0289855072463767
1076069,1474225,70.0,71.0,71.0,72.0,72.0,72.0,2.0,1.0285714285714285
1076069,2086998,70.0,70.0,70.04166666666667,70.0,70.0,70.0,0.0,1.0
1076069,2087053,65.0,67.0,66.91666666666667,67.0,67.0,67.0,2.0,1.0307692307692307
1076069,2500531,49.0,49.0,49.0,49.0,49.0,49.0,0.0,1.0
1076069,2537209,26.0,27.0,26.875,27.0,27.0,27.0,1.0,1.0384615384615385
1076069,3194205,57.0,57.0,57.0,57.0,57.0,57.0,0.0,1.0
1076069,3194210,26.0,26.0,26.0,26.0,26.0,26.0,0.0,1.0
1076069,3214156,26.0,26.0,26.0,26.0,26.0,26.0,0.0,1.0
1076069,3324072,68.0,70.0,69.75,70.0,70.85,70.85,2.8499999999999943,1.0419117647058822
1076109,1016922,52.0,53.0,52.833333333333336,53.0,53.0,53.0,1.0,1.0192307692307692
1076109,1016927,53.0,54.0,53.75,54.0,54.0,54.0,1.0,1.0188679245283019
1076109,1016937,52.0,54.0,53.625,54.0,54.0,54.0,2.0,1.0384615384615385
1076109,1017010,15.0,18.0,18.125,19.0,19.0,19.0,4.0,1.2666666666666666
1076109,1017066,51.0,51.0,51.0,51.0,51.0,51.0,0.0,1.0
1076109,2036426,27.0,27.0,27.0,27.0,27.0,27.0,0.0,1.0
1076109,2577658,66.0,67.0,67.16666666666667,68.0,68.85,68.85,2.8499999999999943,1.043181818181818
1076109,2577678,69.0,71.0,71.20833333333333,72.0,72.85,72.85,3.8499999999999943,1.0557971014492753
1076109,2577704,68.0,71.0,70.54166666666667,72.0,72.0,72.0,4.0,1.0588235294117647
1076109,2577720,67.0,70.0,69.79166666666667,71.0,71.0,71.0,4.0,1.0597014925373134
1076109,2577743,66.0,69.5,69.08333333333333,70.0,70.0,70.0,4.0,1.0606060606060606
1076109,2577753,66.0,69.0,68.54166666666667,70.0,70.0,70.0,4.0,1.0606060606060606
1076109,2577763,65.0,68.0,67.83333333333333,69.0,69.0,69.0,4.0,1.0615384615384615
1076109,2578469,63.0,66.0,66.04166666666667,67.0,67.0,67.0,4.0,1.0634920634920635
1076109,2597384,26.0,26.0,26.0,26.0,26.0,26.0,0.0,1.0
1076128,45283,52.0,53.0,53.375,54.0,54.0,54.0,2.0,1.0384615384615385
1076128,1005977,25.0,25.0,25.0,25.0,25.0,25.0,0.0,1.0
1076128,1005987,52.0,53.0,52.916666666666664,53.0,53.849999999999994,53.849999999999994,1.8499999999999943,1.035576923076923
1076128,1006012,54.0,54.0,54.0,54.0,54.0,54.0,0.0,1.0
1076128,1006022,54.0,55.0,54.708333333333336,55.0,55.0,55.0,1.0,1.0185185185185186
1076128,1006032,53.0,55.0,54.541666666666664,55.0,55.0,55.0,2.0,1.0377358490566038
1076128,1006051,54.0,55.0,54.958333333333336,55.0,55.0,55.0,1.0,1.0185185185185186
1076128,1006216,53.0,55.0,55.041666666666664,56.0,56.0,56.0,3.0,1.0566037735849056
1076128,1174166,55.0,55.0,55.0,55.0,55.0,55.0,0.0,1.0
1076128,1175067,70.0,70.0,70.0,70.0,70.0,70.0,0.0,1.0
1076128,1275862,66.0,68.0,67.58333333333333,68.0,68.0,68.0,2.0,1.0303030303030303
1076128,1275863,55.0,55.0,55.0,55.0,55.0,55.0,0.0,1.0
1076128,1275913,49.0,50.0,50.416666666666664,51.0,51.0,51.0,2.0,1.0408163265306123
1076128,2575430,67.0,69.0,68.83333333333333,70.0,70.0,70.0,3.0,1.044776119402985
1076128,2575536,68.0,69.0,69.08333333333333,70.0,70.0,70.0,2.0,1.0294117647058822
1076128,2576433,68.0,70.0,70.04166666666667,71.0,71.0,71.0,3.0,1.0441176470588236
1076128,2576441,52.0,53.0,53.0,53.0,53.849999999999994,53.849999999999994,1.8499999999999943,1.035576923076923
1076128,2576457,52.0,53.0,53.083333333333336,54.0,54.0,54.0,2.0,1.0384615384615385
1076128,2576481,52.0,53.0,53.208333333333336,54.0,54.0,54.0,2.0,1.0384615384615385
1076128,2577321,67.0,69.0,69.0,70.0,70.0,70.0,3.0,1.044776119402985
1076128,2818264,64.0,64.0,64.25,65.0,65.0,65.0,1.0,1.015625
1132967,43461,16.0,19.0,18.416666666666668,19.0,19.0,19.0,3.0,1.1875
1132967,43462,16.0,18.0,18.333333333333332,19.0,19.0,19.0,3.0,1.1875
1132967,46636,20.0,20.0,20.0,20.0,20.0,20.0,0.0,1.0
1132967,1120119,16.0,18.0,18.333333333333332,19.0,19.0,19.0,3.0,1.1875
1132967,1120124,16.0,19.0,18.5,19.0,19.0,19.0,3.0,1.1875
1132967,1228346,53.0,54.0,53.708333333333336,54.0,54.0,54.0,1.0,1.0188679245283019
1132967,1228353,52.0,52.0,52.0,52.0,52.0,52.0,0.0,1.0
1132967,1228405,67.0,67.0,67.0,67.0,67.0,67.0,0.0,1.0
1132967,1228410,67.0,67.0,67.0,67.0,67.0,67.0,0.0,1.0
1132967,1228427,66.0,67.0,66.83333333333333,67.0,67.0,67.0,1.0,1.0151515151515151
1132967,1228432,66.0,67.0,66.91666666666667,67.0,67.0,67.0,1.0,1.0151515151515151
1132967,1228569,53.0,54.0,53.916666666666664,54.0,54.0,54.0,1.0,1.0188679245283019
1132967,1228587,19.0,19.0,19.0,19.0,19.0,19.0,0.0,1.0
1132967,1228643,25.0,25.0,25.0,25.0,25.0,25.0,0.0,1.0
1132967,1228648,25.0,25.0,25.166666666666668,26.0,26.0,26.0,1.0,1.04
1132967,1228695,56.0,56.0,56.0,56.0,56.0,56.0,0.0,1.0
1132967,1228701,54.0,54.0,54.0,54.0,54.0,54.0,0.0,1.0
1132967,1228732,25.0,26.0,25.708333333333332,26.0,26.0,26.0,1.0,1.04
1132967,1324248,56.0,57.0,56.916666666666664,57.0,57.0,57.0,1.0,1.0178571428571428
1132967,1404789,37.0,38.0,37.958333333333336,38.0,38.0,38.0,1.0,1.027027027027027
1132967,1404833,19.0,19.0,19.166666666666668,20.0,20.0,20.0,1.0,1.0526315789473684
1132967,1404863,19.0,19.0,19.0,19.0,19.0,19.0,0.0,1.0
1132967,1404891,15.0,15.0,15.0,15.0,15.0,15.0,0.0,1.0
1132967,1405272,53.0,54.0,53.958333333333336,54.0,54.0,54.0,1.0,1.0188679245283019
1132967,1405365,19.0,19.0,19.0,19.0,19.0,19.0,0.0,1.0
1132967,1405420,19.0,19.0,19.0,19.0,19.0,19.0,0.0,1.0
1132967,1425010,54.0,56.0,55.458333333333336,56.0,56.0,56.0,2.0,1.037037037037037
1132967,2236235,26.0,27.0,26.541666666666668,27.0,27.0,27.0,1.0,1.0384615384615385
1132967,2247029,23.0,24.0,23.916666666666668,24.0,24.0,24.0,1.0,1.0434782608695652
1132967,2247079,65.0,67.0,66.95833333333333,68.0,68.0,68.0,3.0,1.0461538461538462
1132967,2247119,16.0,18.0,18.041666666666668,19.0,19.0,19.0,3.0,1.1875
1132967,2247129,16.0,18.0,18.083333333333332,19.0,19.0,19.0,3.0,1.1875
1132967,2328532,26.0,26.0,26.0,26.0,26.0,26.0,0.0,1.0
1132967,2509068,38.0,39.0,39.125,40.0,40.0,40.0,2.0,1.0526315789473684
1132967,2509078,19.0,19.0,19.0,19.0,19.0,19.0,0.0,1.0
1132967,2509084,37.0,38.0,37.958333333333336,38.0,38.0,38.0,1.0,1.027027027027027
1132967,2509089,19.0,19.0,19.0,19.0,19.0,19.0,0.0,1.0
1132967,2509097,18.0,19.0,18.958333333333332,19.0,19.0,19.0,1.0,1.0555555555555556
1132967,2509121,20.0,20.0,20.0,20.0,20.0,20.0,0.0,1.0
1132967,2509126,20.0,20.0,20.0,20.0,20.0,20.0,0.0,1.0
1132967,2509444,39.0,39.0,39.0,39.0,39.0,39.0,0.0,1.0
1132967,2509449,19.0,19.0,19.0,19.0,19.0,19.0,0.0,1.0
1132967,2529175,16.0,19.0,18.416666666666668,19.0,19.0,19.0,3.0,1.1875
1132967,2537293,48.0,49.0,49.166666666666664,50.7,51.0,51.0,3.0,1.0625
1132967,2538890,25.0,26.0,25.916666666666668,26.0,26.0,26.0,1.0,1.04
1132967,2573500,64.0,66.0,66.04166666666667,67.0,67.0,67.0,3.0,1.046875
1132967,2573700,37.0,38.0,37.916666666666664,38.0,38.0,38.0,1.0,1.027027027027027
1132967,2575291,20.0,21.0,20.833333333333332,21.0,21.0,21.0,1.0,1.05
1132967,2575882,39.0,40.0,39.791666666666664,40.0,40.0,40.0,1.0,1.0256410256410255
1132967,2575916,39.0,39.0,39.458333333333336,40.0,40.0,40.0,1.0,1.0256410256410255
1132967,2576346,38.0,39.0,38.583333333333336,39.0,39.0,39.0,1.0,1.0263157894736843
1132967,2576401,34.0,34.0,34.0,34.0,34.0,34.0,0.0,1.0
1132967,2577668,16.0,18.0,18.333333333333332,19.0,19.0,19.0,3.0,1.1875
1132967,2579163,16.0,18.0,18.125,19.0,19.0,19.0,3.0,1.1875
1132967,2580468,60.0,62.0,62.0,63.0,63.0,63.0,3.0,1.05
1132967,2580496,54.0,55.0,55.208333333333336,56.7,57.0,57.0,3.0,1.0555555555555556
1132967,2703458,30.0,31.0,30.875,31.0,31.0,31.0,1.0,1.0333333333333334
1132967,2703462,28.0,28.0,28.166666666666668,29.0,29.0,29.0,1.0,1.0357142857142858
1132967,3549327,25.0,25.0,25.0,25.0,25.0,25.0,0.0,1.0
1132967,3744865,16.0,19.0,18.416666666666668,19.0,19.0,19.0,3.0,1.1875
1132967,4203471,38.0,38.0,38.333333333333336,39.0,39.0,39.0,1.0,1.0263157894736843
1136039,1345617,57.0,57.5,57.5,58.0,58.0,58.0,1.0,1.0175438596491229
1136039,1351053,65.0,66.0,66.16666666666667,67.0,67.0,67.0,2.0,1.0307692307692307
1136039,1351794,27.0,27.0,27.0,27.0,27.0,27.0,0.0,1.0
1136039,2189391,16.0,18.0,17.875,19.0,19.0,19.0,3.0,1.1875
1136039,2189396,16.0,18.0,17.833333333333332,19.0,19.0,19.0,3.0,1.1875
1136039,2189579,25.0,25.0,25.0,25.0,25.0,25.0,0.0,1.0
1136039,2563702,65.0,66.0,66.20833333333333,67.0,67.0,67.0,2.0,1.0307692307692307
1136039,2579732,66.0,68.0,68.125,69.0,69.0,69.0,3.0,1.0454545454545454
1136042,1345608,69.0,69.0,69.0,69.0,69.0,69.0,0.0,1.0
1136042,1351934,27.0,27.0,27.0,27.0,27.0,27.0,0.0,1.0
1136042,1475743,27.0,31.0,30.666666666666668,32.0,32.0,32.0,5.0,1.1851851851851851
1136042,1475753,25.0,28.0,28.041666666666668,29.0,29.0,29.0,4.0,1.16
1136042,1475822,29.0,29.0,29.5,30.0,30.849999999999998,30.849999999999998,1.8499999999999979,1.0637931034482757
1136042,1475827,29.0,29.5,29.583333333333332,30.0,30.849999999999998,30.849999999999998,1.8499999999999979,1.0637931034482757
1136042,1510937,41.0,47.0,46.541666666666664,48.0,48.0,48.0,7.0,1.170731707317073
1136042,2038597,69.0,70.0,69.70833333333333,70.0,70.0,70.0,1.0,1.0144927536231885
1136042,2038617,69.0,69.0,69.0,69.0,69.0,69.0,0.0,1.0
1136042,2038652,68.0,69.0,68.91666666666667,69.0,69.0,69.0,1.0,1.0147058823529411
1136042,2038662,68.0,69.0,68.875,69.0,69.0,69.0,1.0,1.0147058823529411
1136042,2038676,67.0,68.5,68.375,69.0,69.0,69.0,2.0,1.0298507462686568
1136042,2039791,57.0,62.0,62.0,63.0,64.69999999999999,64.69999999999999,7.699999999999989,1.1350877192982454
1136042,2039796,57.0,62.0,62.0,63.0,64.69999999999999,64.69999999999999,7.699999999999989,1.1350877192982454
1136042,2039811,68.0,72.0,71.5,72.0,72.0,72.0,4.0,1.0588235294117647
1136042,2039816,68.0,72.0,71.5,72.0,72.0,72.0,4.0,1.0588235294117647
1136042,2270627,40.0,43.0,43.375,45.0,45.849999999999994,45.849999999999994,5.849999999999994,1.1462499999999998
1136042,2270643,35.0,40.0,39.958333333333336,41.0,41.849999999999994,41.849999999999994,6.849999999999994,1.1957142857142855
1136042,2494939,8.0,8.0,8.0,8.0,8.0,8.0,0.0,1.0
1136042,2494954,9.0,9.0,9.0,9.0,9.0,9.0,0.0,1.0
1136042,3173632,28.0,28.0,28.0,28.0,28.0,28.0,0.0,1.0
1136042,3510353,70.0,70.0,70.0,70.0,70.0,70.0,0.0,1.0
1136042,3510401,69.0,69.0,69.0,69.0,69.0,69.0,0.0,1.0
1136056,1320614,70.0,70.0,70.0,70.0,70.0,70.0,0.0,1.0
1136056,1351914,26.0,26.0,26.0,26.0,26.0,26.0,0.0,1.0
1136056,1556600,49.0,50.0,50.25,51.7,52.0,52.0,3.0,1.0612244897959184
1136056,1556605,49.0,50.0,50.166666666666664,51.0,51.849999999999994,51.849999999999994,2.8499999999999943,1.0581632653061224
1136056,1556615,56.0,57.0,56.708333333333336,57.0,57.0,57.0,1.0,1.0178571428571428
1136056,1556620,50.0,52.0,52.125,53.0,53.849999999999994,53.849999999999994,3.8499999999999943,1.077
1136056,1721352,68.0,69.0,68.91666666666667,70.0,70.0,70.0,2.0,1.0294117647058822
1136056,2163089,27.0,27.0,27.0,27.0,27.0,27.0,0.0,1.0
1136056,2267756,68.0,70.0,69.83333333333333,71.0,71.0,71.0,3.0,1.0441176470588236
1136056,2267899,54.0,54.5,54.5,55.0,55.0,55.0,1.0,1.0185185185185186
1136056,2272528,66.0,67.0,67.0,67.7,68.0,68.0,2.0,1.0303030303030303
1136056,2332899,16.0,18.0,18.291666666666668,19.0,19.0,19.0,3.0,1.1875
1136056,2332909,68.0,70.0,69.91666666666667,71.0,71.0,71.0,3.0,1.0441176470588236
1136056,2332960,16.0,18.0,17.791666666666668,18.0,18.849999999999998,18.849999999999998,2.849999999999998,1.1781249999999999
1136056,2333026,18.0,19.0,18.875,19.0,19.0,19.0,1.0,1.0555555555555556
1136056,2333031,18.0,19.0,18.875,19.0,19.0,19.0,1.0,1.0555555555555556
1136056,2335564,18.0,19.0,18.916666666666668,19.7,20.0,20.0,2.0,1.1111111111111112
1136056,2335569,18.0,19.0,18.916666666666668,19.7,20.0,20.0,2.0,1.1111111111111112
1136065,44549,31.0,32.0,31.958333333333332,32.0,32.0,32.0,1.0,1.032258064516129
1136065,44552,31.0,31.0,31.166666666666668,32.0,32.0,32.0,1.0,1.032258064516129
1136065,44553,31.0,32.0,31.583333333333332,32.0,32.0,32.0,1.0,1.032258064516129
1136065,44554,31.0,32.0,31.708333333333332,32.0,32.0,32.0,1.0,1.032258064516129
1136065,44555,31.0,32.0,31.708333333333332,32.0,32.0,32.0,1.0,1.032258064516129
1136065,44556,31.0,32.0,31.541666666666668,32.0,32.0,32.0,1.0,1.032258064516129
1136065,1544461,55.0,57.0,56.625,57.0,57.0,57.0,2.0,1.0363636363636364
1136065,1721357,21.0,22.0,21.625,22.0,22.0,22.0,1.0,1.0476190476190477
1136065,2335498,38.0,38.5,38.666666666666664,39.7,40.0,40.0,2.0,1.0526315789473684
1136065,2335579,47.0,47.0,47.458333333333336,48.0,48.0,48.0,1.0,1.0212765957446808
1136065,2450965,51.0,51.0,51.0,51.0,51.0,51.0,0.0,1.0
1136065,2450985,19.0,19.0,19.0,19.0,19.0,19.0,0.0,1.0
1136065,2451006,49.0,51.0,50.416666666666664,51.0,51.0,51.0,2.0,1.0408163265306123
1136065,2451021,19.0,19.0,19.0,19.0,19.0,19.0,0.0,1.0
1136065,2451029,49.0,51.0,50.583333333333336,51.0,51.849999999999994,51.849999999999994,2.8499999999999943,1.0581632653061224
1136065,2451039,19.0,19.0,19.0,19.0,19.0,19.0,0.0,1.0
1136065,2451042,31.0,32.0,31.833333333333332,32.0,32.0,32.0,1.0,1.032258064516129
1136065,2451047,19.0,19.0,19.083333333333332,19.0,19.849999999999998,19.849999999999998,0.8499999999999979,1.044736842105263
1136065,2451057,19.0,19.0,19.0,19.0,19.0,19.0,0.0,1.0
1136065,2451077,19.0,19.0,19.0,19.0,19.0,19.0,0.0,1.0
1136065,2452019,30.0,31.0,30.875,32.0,32.0,32.0,2.0,1.0666666666666667
1136065,2452039,19.0,20.0,19.958333333333332,20.0,20.0,20.0,1.0,1.0526315789473684
1136065,2452047,26.0,26.5,26.583333333333332,27.0,27.849999999999998,27.849999999999998,1.8499999999999979,1.0711538461538461
1136065,2452050,25.0,26.0,25.666666666666668,26.7,27.0,27.0,2.0,1.08
1136065,2452060,20.0,20.0,20.0,20.0,20.0,20.0,0.0,1.0
1136065,2452063,24.0,25.0,24.666666666666668,25.7,26.0,26.0,2.0,1.0833333333333333
1136065,2452073,20.0,20.0,20.0,20.0,20.0,20.0,0.0,1.0
1136065,2452076,48.0,51.0,50.708333333333336,52.0,52.0,52.0,4.0,1.0833333333333333
1136065,2452089,19.0,19.0,19.0,19.0,19.0,19.0,0.0,1.0
1136065,2452097,48.0,51.0,50.375,51.0,51.0,51.0,3.0,1.0625
1136065,2452118,19.0,19.0,19.0,19.0,19.0,19.0,0.0,1.0
1136065,2452121,48.0,50.0,50.125,51.0,51.0,51.0,3.0,1.0625
1136065,2452134,18.0,19.0,18.958333333333332,19.0,19.0,19.0,1.0,1.0555555555555556
1136065,2538903,19.0,20.0,19.625,20.0,20.0,20.0,1.0,1.0526315789473684
1136065,2538908,19.0,20.0,19.791666666666668,20.0,20.0,20.0,1.0,1.0526315789473684
1136065,2578302,45.0,47.0,46.833333333333336,48.0,48.849999999999994,48.849999999999994,3.8499999999999943,1.0855555555555554
1136065,2580040,23.0,24.0,24.25,25.0,25.0,25.0,2.0,1.0869565217391304
1136065,2580069,27.0,28.0,27.708333333333332,29.0,29.0,29.0,2.0,1.0740740740740742
1136065,2580079,28.0,28.5,28.625,29.7,30.0,30.0,2.0,1.0714285714285714
1136065,2580089,29.0,30.0,29.708333333333332,31.0,31.0,31.0,2.0,1.0689655172413792
1136065,2580109,31.0,32.0,32.291666666666664,33.0,33.0,33.0,2.0,1.064516129032258
1136065,2580119,34.0,35.0,35.375,36.0,36.0,36.0,2.0,1.0588235294117647
1136065,2580128,35.0,36.0,36.208333333333336,37.0,37.0,37.0,2.0,1.0571428571428572
1136065,2580138,37.0,38.0,38.375,39.0,39.0,39.0,2.0,1.054054054054054
1136065,2580148,36.0,37.0,37.208333333333336,38.0,38.0,38.0,2.0,1.0555555555555556
1136065,2580159,41.0,42.0,42.083333333333336,43.0,43.0,43.0,2.0,1.048780487804878
1136065,2580169,43.0,44.0,43.791666666666664,45.0,45.0,45.0,2.0,1.0465116279069768
